dataset,filename,severity,spatial_score,method,psnr,ssim
U90,10909.png,Severe,10.999726295471191,Input,17.187013626098633,0.6803422570228577
U90,10945.png,Severe,17.91791343688965,Input,14.413721084594727,0.69038987159729
U90,11052.png,Mild,5.640902042388916,Input,17.775842666625977,0.7830512523651123
U90,11064.png,Severe,11.72004508972168,Input,16.921175003051758,0.8175449371337891
U90,11374.png,Moderate,7.842672348022461,Input,20.10393524169922,0.8427934050559998
U90,11398.png,Moderate,9.186657905578613,Input,19.833890914916992,0.8433920741081238
U90,1225.png,Mild,5.728692531585693,Input,19.60957145690918,0.9245395660400391
U90,12290.png,Severe,15.261320114135742,Input,8.407569885253906,0.2684515714645386
U90,10909.png,Severe,10.999726295471191,WWE-UIE,21.139896392822266,0.8682007193565369
U90,10945.png,Severe,17.91791343688965,WWE-UIE,18.58088493347168,0.8220437169075012
U90,11052.png,Mild,5.640902042388916,WWE-UIE,23.026229858398438,0.92259281873703
U90,11064.png,Severe,11.72004508972168,WWE-UIE,21.551231384277344,0.9073445200920105
U90,11374.png,Moderate,7.842672348022461,WWE-UIE,23.411176681518555,0.9286664128303528
U90,11398.png,Moderate,9.186657905578613,WWE-UIE,23.395084381103516,0.9174529910087585
U90,1225.png,Mild,5.728692531585693,WWE-UIE,26.90424346923828,0.9701628684997559
U90,12290.png,Severe,15.261320114135742,WWE-UIE,17.372821807861328,0.820797860622406
U90,10909.png,Severe,10.999726295471191,Uniform guide,23.5240478515625,0.8974660038948059
U90,10945.png,Severe,17.91791343688965,Uniform guide,18.17828369140625,0.8797454237937927
U90,11052.png,Mild,5.640902042388916,Uniform guide,26.818201065063477,0.9658088088035583
U90,11064.png,Severe,11.72004508972168,Uniform guide,22.99312400817871,0.9169270396232605
U90,11374.png,Moderate,7.842672348022461,Uniform guide,27.814233779907227,0.9641985297203064
U90,11398.png,Moderate,9.186657905578613,Uniform guide,26.210350036621094,0.9540935158729553
U90,1225.png,Mild,5.728692531585693,Uniform guide,22.36540985107422,0.9374412894248962
U90,12290.png,Severe,15.261320114135742,Uniform guide,29.335617065429688,0.9276098608970642
U90,10909.png,Severe,10.999726295471191,PROTEUS,24.607749938964844,0.9079567790031433
U90,10945.png,Severe,17.91791343688965,PROTEUS,18.74907684326172,0.8750066161155701
U90,11052.png,Mild,5.640902042388916,PROTEUS,27.43813705444336,0.9667299389839172
U90,11064.png,Severe,11.72004508972168,PROTEUS,28.581884384155273,0.9481145739555359
U90,11374.png,Moderate,7.842672348022461,PROTEUS,29.518157958984375,0.9719474911689758
U90,11398.png,Moderate,9.186657905578613,PROTEUS,30.87372589111328,0.9708203673362732
U90,1225.png,Mild,5.728692531585693,PROTEUS,26.27225685119629,0.969856321811676
U90,12290.png,Severe,15.261320114135742,PROTEUS,30.63379669189453,0.935068666934967
U90,12336.png,Severe,12.495097160339355,Input,12.441478729248047,0.6511110663414001
U90,12348.png,Severe,14.889836311340332,Input,9.283759117126465,0.3813643455505371
U90,12422.png,Moderate,7.605715751647949,Input,13.269207000732422,0.7789716720581055
U90,12433.png,Mild,6.125816345214844,Input,17.59827423095703,0.7689206600189209
U90,1407.png,Mild,6.560920238494873,Input,19.833459854125977,0.8564054369926453
U90,1491.png,Moderate,9.698908805847168,Input,13.742327690124512,0.627751886844635
U90,15001.png,Mild,3.2891652584075928,Input,20.38311004638672,0.7365701198577881
U90,15045.png,Moderate,7.981866359710693,Input,17.6130313873291,0.822547197341919
U90,12336.png,Severe,12.495097160339355,WWE-UIE,20.521160125732422,0.9008212089538574
U90,12348.png,Severe,14.889836311340332,WWE-UIE,20.243913650512695,0.8571984171867371
U90,12422.png,Moderate,7.605715751647949,WWE-UIE,29.12391471862793,0.9606277942657471
U90,12433.png,Mild,6.125816345214844,WWE-UIE,22.568344116210938,0.8917153477668762
U90,1407.png,Mild,6.560920238494873,WWE-UIE,24.691831588745117,0.9443881511688232
U90,1491.png,Moderate,9.698908805847168,WWE-UIE,18.8835506439209,0.8623602390289307
U90,15001.png,Mild,3.2891652584075928,WWE-UIE,21.502880096435547,0.8912158012390137
U90,15045.png,Moderate,7.981866359710693,WWE-UIE,23.929729461669922,0.9539158940315247
U90,12336.png,Severe,12.495097160339355,Uniform guide,32.57419204711914,0.976458728313446
U90,12348.png,Severe,14.889836311340332,Uniform guide,29.085548400878906,0.9313092827796936
U90,12422.png,Moderate,7.605715751647949,Uniform guide,30.478260040283203,0.9696304202079773
U90,12433.png,Mild,6.125816345214844,Uniform guide,30.05282211303711,0.9615559577941895
U90,1407.png,Mild,6.560920238494873,Uniform guide,22.069496154785156,0.8852567672729492
U90,1491.png,Moderate,9.698908805847168,Uniform guide,22.354759216308594,0.9382117390632629
U90,15001.png,Mild,3.2891652584075928,Uniform guide,32.409236907958984,0.9673427939414978
U90,15045.png,Moderate,7.981866359710693,Uniform guide,34.73605728149414,0.9907097220420837
U90,12336.png,Severe,12.495097160339355,PROTEUS,33.32093048095703,0.9787200093269348
U90,12348.png,Severe,14.889836311340332,PROTEUS,32.086891174316406,0.9431384205818176
U90,12422.png,Moderate,7.605715751647949,PROTEUS,33.74348068237305,0.9793815016746521
U90,12433.png,Mild,6.125816345214844,PROTEUS,30.113418579101562,0.9613720774650574
U90,1407.png,Mild,6.560920238494873,PROTEUS,22.097475051879883,0.9080410599708557
U90,1491.png,Moderate,9.698908805847168,PROTEUS,19.43648910522461,0.8783408999443054
U90,15001.png,Mild,3.2891652584075928,PROTEUS,31.863971710205078,0.9683029651641846
U90,15045.png,Moderate,7.981866359710693,PROTEUS,34.6990852355957,0.990810215473175
U90,15094.png,Moderate,8.99006175994873,Input,15.767147064208984,0.7740189433097839
U90,15113.png,Mild,5.763978481292725,Input,14.78314208984375,0.5517581701278687
U90,15136.png,Moderate,9.379804611206055,Input,14.66464900970459,0.7412465214729309
U90,1539.png,Moderate,9.518217086791992,Input,15.980969429016113,0.7779783606529236
U90,15418.png,Severe,18.701627731323242,Input,12.65696907043457,0.42332538962364197
U90,15426.png,Severe,11.962808609008789,Input,16.894393920898438,0.7643869519233704
U90,15704.png,Severe,11.324772834777832,Input,15.122444152832031,0.6173403263092041
U90,1573.png,Moderate,10.176810264587402,Input,16.916845321655273,0.8622357845306396
U90,15094.png,Moderate,8.99006175994873,WWE-UIE,28.85360336303711,0.967587411403656
U90,15113.png,Mild,5.763978481292725,WWE-UIE,20.019832611083984,0.8329834938049316
