dataset,filename,severity,spatial_score,global_cast_score,mean_delta_e,input_path,gt_path
U90,10909.png,Severe,10.999726295471191,11.295907974243164,17.265361785888672,/data2/users/zhangxu/ISP/6_UIR/Datasets/U90/input/10909.png,/data2/users/zhangxu/ISP/6_UIR/Datasets/U90/GT/10909.png
U90,10945.png,Severe,17.91791343688965,29.36741065979004,34.4365119934082,/data2/users/zhangxu/ISP/6_UIR/Datasets/U90/input/10945.png,/data2/users/zhangxu/ISP/6_UIR/Datasets/U90/GT/10945.png
U90,11052.png,Mild,5.640902042388916,14.572860717773438,16.418907165527344,/data2/users/zhangxu/ISP/6_UIR/Datasets/U90/input/11052.png,/data2/users/zhangxu/ISP/6_UIR/Datasets/U90/GT/11052.png
U90,11064.png,Severe,11.72004508972168,17.806081771850586,20.7197322845459,/data2/users/zhangxu/ISP/6_UIR/Datasets/U90/input/11064.png,/data2/users/zhangxu/ISP/6_UIR/Datasets/U90/GT/11064.png
U90,11374.png,Moderate,7.842672348022461,12.270857810974121,16.331314086914062,/data2/users/zhangxu/ISP/6_UIR/Datasets/U90/input/11374.png,/data2/users/zhangxu/ISP/6_UIR/Datasets/U90/GT/11374.png
U90,11398.png,Moderate,9.186657905578613,15.420634269714355,18.745437622070312,/data2/users/zhangxu/ISP/6_UIR/Datasets/U90/input/11398.png,/data2/users/zhangxu/ISP/6_UIR/Datasets/U90/GT/11398.png
U90,1225.png,Mild,5.728692531585693,17.686861038208008,18.484235763549805,/data2/users/zhangxu/ISP/6_UIR/Datasets/U90/input/1225.png,/data2/users/zhangxu/ISP/6_UIR/Datasets/U90/GT/1225.png
U90,12290.png,Severe,15.261320114135742,38.96509552001953,40.79380416870117,/data2/users/zhangxu/ISP/6_UIR/Datasets/U90/input/12290.png,/data2/users/zhangxu/ISP/6_UIR/Datasets/U90/GT/12290.png
U90,12336.png,Severe,12.495097160339355,19.79888153076172,23.423851013183594,/data2/users/zhangxu/ISP/6_UIR/Datasets/U90/input/12336.png,/data2/users/zhangxu/ISP/6_UIR/Datasets/U90/GT/12336.png
U90,12348.png,Severe,14.889836311340332,34.13205337524414,36.375301361083984,/data2/users/zhangxu/ISP/6_UIR/Datasets/U90/input/12348.png,/data2/users/zhangxu/ISP/6_UIR/Datasets/U90/GT/12348.png
U90,12422.png,Moderate,7.605715751647949,18.730676651000977,19.178524017333984,/data2/users/zhangxu/ISP/6_UIR/Datasets/U90/input/12422.png,/data2/users/zhangxu/ISP/6_UIR/Datasets/U90/GT/12422.png
U90,12433.png,Mild,6.125816345214844,13.630507469177246,14.848094940185547,/data2/users/zhangxu/ISP/6_UIR/Datasets/U90/input/12433.png,/data2/users/zhangxu/ISP/6_UIR/Datasets/U90/GT/12433.png
U90,1407.png,Mild,6.560920238494873,8.480306625366211,11.070055961608887,/data2/users/zhangxu/ISP/6_UIR/Datasets/U90/input/1407.png,/data2/users/zhangxu/ISP/6_UIR/Datasets/U90/GT/1407.png
U90,1491.png,Moderate,9.698908805847168,21.889305114746094,24.449316024780273,/data2/users/zhangxu/ISP/6_UIR/Datasets/U90/input/1491.png,/data2/users/zhangxu/ISP/6_UIR/Datasets/U90/GT/1491.png
U90,15001.png,Mild,3.2891652584075928,19.891178131103516,20.344749450683594,/data2/users/zhangxu/ISP/6_UIR/Datasets/U90/input/15001.png,/data2/users/zhangxu/ISP/6_UIR/Datasets/U90/GT/15001.png
U90,15045.png,Moderate,7.981866359710693,14.531081199645996,17.80459976196289,/data2/users/zhangxu/ISP/6_UIR/Datasets/U90/input/15045.png,/data2/users/zhangxu/ISP/6_UIR/Datasets/U90/GT/15045.png
