dataset,filename,setting,psnr,ssim,lpips
U90,10909.png,Zero guide,20.17154312133789,0.7941785454750061,0.180483877658844
U90,10945.png,Zero guide,18.355976104736328,0.8300135135650635,0.19726648926734924
U90,10909.png,Uniform guide,21.710506439208984,0.8946571350097656,0.08776456117630005
U90,10945.png,Uniform guide,15.785209655761719,0.8252726197242737,0.22174577414989471
U90,10909.png,Raw-input guide,24.63364028930664,0.9130983948707581,0.0833425298333168
U90,10945.png,Raw-input guide,18.675281524658203,0.8812255859375,0.13688771426677704
U90,10909.png,Cross-image guide,23.315216064453125,0.8818016052246094,0.1028384193778038
U90,10945.png,Cross-image guide,19.832536697387695,0.8935484290122986,0.15401728451251984
U90,10909.png,Full spatial guide,24.608367919921875,0.9079654812812805,0.0887259915471077
U90,10945.png,Full spatial guide,18.748491287231445,0.8750069737434387,0.14858590066432953
U90,11052.png,Zero guide,20.345638275146484,0.8500310778617859,0.11414559930562973
U90,11064.png,Zero guide,20.226757049560547,0.8417277336120605,0.11123132705688477
U90,11052.png,Uniform guide,21.339431762695312,0.8808062076568604,0.07574808597564697
U90,11064.png,Uniform guide,19.132076263427734,0.8296973705291748,0.11339153349399567
U90,11052.png,Raw-input guide,27.540626525878906,0.9668328166007996,0.03473776951432228
U90,11064.png,Raw-input guide,28.290122985839844,0.9479549527168274,0.03612792491912842
U90,11052.png,Cross-image guide,27.945053100585938,0.9678887724876404,0.0350550077855587
U90,11064.png,Cross-image guide,22.481704711914062,0.9111921787261963,0.0787491425871849
U90,11052.png,Full spatial guide,27.439653396606445,0.9667322039604187,0.03475193679332733
U90,11064.png,Full spatial guide,28.581138610839844,0.9481245875358582,0.03653137385845184
U90,11374.png,Zero guide,21.921974182128906,0.8679618835449219,0.10950905829668045
U90,11398.png,Zero guide,21.35236358642578,0.858653724193573,0.09941515326499939
U90,11374.png,Uniform guide,25.548952102661133,0.9593659043312073,0.04315852373838425
U90,11398.png,Uniform guide,24.529726028442383,0.9461617469787598,0.04260161519050598
U90,11374.png,Raw-input guide,29.391687393188477,0.971884548664093,0.0279399361461401
U90,11398.png,Raw-input guide,30.796733856201172,0.9708043932914734,0.021324405446648598
U90,11374.png,Cross-image guide,29.00914192199707,0.9701648354530334,0.027186036109924316
U90,11398.png,Cross-image guide,26.634130477905273,0.9581660628318787,0.04358893632888794
U90,11374.png,Full spatial guide,29.5167179107666,0.9719338417053223,0.02816060185432434
U90,11398.png,Full spatial guide,30.872249603271484,0.9708153605461121,0.020999617874622345
U90,1225.png,Zero guide,22.490976333618164,0.945524275302887,0.12370061874389648
U90,12290.png,Zero guide,13.211010932922363,0.6836538314819336,0.35754722356796265
U90,1225.png,Uniform guide,25.52629852294922,0.9632418751716614,0.06660636514425278
U90,12290.png,Uniform guide,27.913801193237305,0.9194771647453308,0.14237143099308014
U90,1225.png,Raw-input guide,26.556377410888672,0.9710946083068848,0.051477912813425064
U90,12290.png,Raw-input guide,30.644428253173828,0.9353821277618408,0.12113016843795776
U90,1225.png,Cross-image guide,22.348291397094727,0.9417989253997803,0.12846612930297852
U90,12290.png,Cross-image guide,27.608570098876953,0.9151893258094788,0.1394154131412506
U90,1225.png,Full spatial guide,26.27631187438965,0.9698706269264221,0.053283751010894775
U90,12290.png,Full spatial guide,30.633974075317383,0.9350643754005432,0.12095724046230316
U90,12336.png,Zero guide,21.315940856933594,0.906865119934082,0.2253662347793579
U90,12348.png,Zero guide,16.37803077697754,0.7914227843284607,0.276601642370224
U90,12336.png,Uniform guide,31.478273391723633,0.9736440181732178,0.04363209009170532
U90,12348.png,Uniform guide,28.780250549316406,0.9227597117424011,0.14539743959903717
U90,12336.png,Raw-input guide,33.18463897705078,0.9786030650138855,0.03437729552388191
U90,12348.png,Raw-input guide,32.130245208740234,0.9437289237976074,0.11814995855093002
U90,12336.png,Cross-image guide,19.76881217956543,0.8991475105285645,0.22370731830596924
U90,12348.png,Cross-image guide,30.441082000732422,0.9363691210746765,0.12287989258766174
U90,12336.png,Full spatial guide,33.321868896484375,0.978721559047699,0.03390827775001526
U90,12348.png,Full spatial guide,32.0847282409668,0.9431442618370056,0.11902663856744766
U90,12422.png,Zero guide,22.36764144897461,0.9355432391166687,0.08288002014160156
U90,12433.png,Zero guide,19.781465530395508,0.802217423915863,0.1682513952255249
U90,12422.png,Uniform guide,26.809385299682617,0.9689633250236511,0.058915287256240845
U90,12433.png,Uniform guide,30.018768310546875,0.9613115787506104,0.041181981563568115
U90,12422.png,Raw-input guide,33.74153518676758,0.979185163974762,0.028401706367731094
U90,12433.png,Raw-input guide,30.0223388671875,0.9614644050598145,0.04822035878896713
U90,12422.png,Cross-image guide,29.081056594848633,0.9744636416435242,0.043673887848854065
U90,12433.png,Cross-image guide,28.44211769104004,0.9481779932975769,0.04652492702007294
U90,12422.png,Full spatial guide,33.74320983886719,0.9793974757194519,0.027776455506682396
U90,12433.png,Full spatial guide,30.119415283203125,0.9613807201385498,0.04777148738503456
U90,1407.png,Zero guide,21.861631393432617,0.8827566504478455,0.09279169142246246
U90,1491.png,Zero guide,18.117095947265625,0.8248905539512634,0.13290394842624664
U90,1407.png,Uniform guide,21.267227172851562,0.8926682472229004,0.119072824716568
U90,1491.png,Uniform guide,22.43112564086914,0.9334314465522766,0.05899275839328766
U90,1407.png,Raw-input guide,22.099084854125977,0.9082050919532776,0.13552072644233704
U90,1491.png,Raw-input guide,19.749855041503906,0.8877368569374084,0.07720183581113815
U90,1407.png,Cross-image guide,20.861539840698242,0.8941969871520996,0.12901541590690613
U90,1491.png,Cross-image guide,21.93907928466797,0.9130291938781738,0.0643816813826561
U90,1407.png,Full spatial guide,22.095909118652344,0.9080179333686829,0.1376907080411911
U90,1491.png,Full spatial guide,19.43728256225586,0.8783575892448425,0.08460391312837601
U90,15001.png,Zero guide,21.130062103271484,0.896282434463501,0.20859219133853912
U90,15045.png,Zero guide,26.899646759033203,0.9714601635932922,0.09446660429239273
U90,15001.png,Uniform guide,32.396175384521484,0.9674049019813538,0.05747316777706146
U90,15045.png,Uniform guide,34.44353485107422,0.990506649017334,0.016349684447050095
U90,15001.png,Raw-input guide,31.671310424804688,0.9682407975196838,0.054050907492637634
U90,15045.png,Raw-input guide,34.65977096557617,0.9908933639526367,0.0165982898324728
U90,15001.png,Cross-image guide,20.482906341552734,0.9069085121154785,0.2353830337524414
U90,15045.png,Cross-image guide,34.06243133544922,0.9906756281852722,0.025722552090883255
U90,15001.png,Full spatial guide,31.867340087890625,0.9683137536048889,0.05298221856355667
U90,15045.png,Full spatial guide,34.699005126953125,0.9908110499382019,0.018188394606113434
U90,15094.png,Zero guide,28.172338485717773,0.9466109275817871,0.07290919125080109
U90,15113.png,Zero guide,20.825166702270508,0.8584612011909485,0.1473594754934311
