dataset,filename,setting,psnr,ssim,lpips
U90,10909.png,Zero guide,20.17154312133789,0.7941785454750061,0.180483877658844
U90,10945.png,Zero guide,18.355976104736328,0.8300135135650635,0.19726648926734924
U90,10909.png,Uniform guide,21.710506439208984,0.8946571350097656,0.08776456117630005
U90,10945.png,Uniform guide,15.785209655761719,0.8252726197242737,0.22174577414989471
U90,10909.png,Raw-input guide,24.63364028930664,0.9130983948707581,0.0833425298333168
U90,10945.png,Raw-input guide,18.675281524658203,0.8812255859375,0.13688771426677704
U90,10909.png,Cross-image guide,23.315216064453125,0.8818016052246094,0.1028384193778038
U90,10945.png,Cross-image guide,17.937572479248047,0.8273524641990662,0.2112228274345398
U90,10909.png,Full spatial guide,24.608367919921875,0.9079654812812805,0.0887259915471077
U90,10945.png,Full spatial guide,18.748491287231445,0.8750069737434387,0.14858590066432953
